Kenteken,Voertuigsoort,Merk,Handelsbenaming,Datum tenaamstelling,Inrichting,Aantal zitplaatsen,Eerste kleur,Aantal cilinders,Cilinderinhoud,Europese voertuigcategorie
TVZ93L,Motorrijtuig met beperkte snelheid,LINDE,H20D-03,20220323,Niet geregistreerd,,N.v.t.,,,Z
HK752T,Personenauto,HYUNDAI,I10,20210310,hatchback,4,BLAUW,3,998,M1
22ZDD6,Personenauto,CITROEN,CITROEN C1,20190808,hatchback,4,ZWART,3,998,M1
DRT29H,Bromfiets,AGM,TAB,20210525,N.v.t.,2,N.v.t.,1,49,L1
10RGGN,Personenauto,KIA,SORENTO,20080822,MPV,5,GRIJS,4,"2,351",M1
16SZXJ,Personenauto,SAAB,SAAB 9-5,20180316,stationwagen,5,GRIJS,4,"2,290",M1
TZV72K,Land- of bosbouwtrekker,JOHN DEERE,2030,20220106,Niet geregistreerd,,N.v.t.,,,T
F079KP,Bromfiets,TOMOS,STANDARD,20160614,N.v.t.,1,N.v.t.,1,49,L1
VVGG53,Bedrijfsauto,VOLKSWAGEN,LT46A,20150204,open wagen,,N.v.t.,5,,N1
TBBJ95,Personenauto,VOLKSWAGEN,GOLF CABRIOLET 53 KW K6,20170826,cabriolet,,BLAUW,4,"1,595",M1
TSK64R,Land- of bosbouwtrekker,JOHN DEERE,2250,20211119,Niet geregistreerd,,N.v.t.,,,T
33DSN5,Bromfiets,APRILIA,SONIC 50 LC,20060816,N.v.t.,,N.v.t.,,49,L1
57LZG9,Personenauto,TOYOTA,TOYOTA AURIS,20120315,MPV,5,WIT,4,"1,798",M1
N386VZ,Personenauto,OPEL,VIVARO,20220401,MPV,9,WIT,,,M1
73KLP8,Personenauto,TOYOTA,TOYOTA AURIS,20100109,MPV,5,BLAUW,4,"1,598",M1
57TPF6,Personenauto,AUDI,A5 CABRIOLET,20220709,cabriolet,4,GRIJS,4,"1,798",M1
GR149V,Personenauto,AUDI,A6 LIMOUSINE,20210624,sedan,5,GRIJS,4,"1,968",M1
55MKZD,Motorfiets,HONDA,SH150AD,20220709,Niet geregistreerd,2,N.v.t.,1,153,L3
69LHJ7,Personenauto,PEUGEOT,PEUGEOT 107,20150225,hatchback,4,ROOD,3,998,M1
H531VL,Personenauto,MAZDA,MAZDA CX-5,20210428,stationwagen,5,BLAUW,4,"1,998",M1
L122BB,Personenauto,OPEL,GRANDLAND X,20210413,MPV,5,ZWART,3,"1,199",M1
BJDJ15,Bedrijfsauto,MAN,L2000 A1 3517211,20170801,veewagen,2,N.v.t.,4,"4,580",N2
RJPN29,Personenauto,HONDA,CIVIC 3DR,20220223,hatchback,,PAARS,4,,M1
NV083Z,Personenauto,VOLKSWAGEN,UP!,20210826,hatchback,4,ZWART,3,999,M1
JB913S,Personenauto,RENAULT,MEGANE,20211001,stationwagen,5,GRIJS,4,"1,461",M1
80KFV7,Personenauto,FIAT,FIAT PUNTO,20220524,MPV,5,BLAUW,4,"1,368",M1
20SVF4,Personenauto,HYUNDAI,IX35,20120720,MPV,5,ZWART,4,"1,998",M1
KN461Z,Personenauto,VOLKSWAGEN,POLO,20220328,hatchback,5,ZWART,3,"1,422",M1
30MBJD,Motorfiets,HARLEY DAVIDSON,XL 1200X FORTY-EIGHT,20131114,Niet geregistreerd,2,N.v.t.,2,"1,202",L3
28DDT2,Bromfiets,GILERA,CITTA,20220709,N.v.t.,,N.v.t.,,49,L1
73RVLX,Personenauto,MERCEDES-BENZ,A 170,20190115,stationwagen,5,ZWART,4,"1,699",M1
XD878P,Personenauto,FORD,FIESTA,20220709,hatchback,5,ROOD,4,"1,999",M1
12SHNX,Personenauto,CITROEN,C3,20210423,hatchback,5,BLAUW,4,"1,360",M1
V574RN,Bedrijfsauto,NISSAN,NISSAN ATLEON,20180801,gesloten opbouw,3,N.v.t.,4,"2,953",N2
26GPDV,Personenauto,OPEL,VECTRA-B-CARAVAN,20131030,stationwagen,5,GRIJS,4,"1,796",M1
